Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years,Dividend yield,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Price to book value,Return over 6months
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2251.15,35.1,27.56,64.82,66.22,0.01,202.72,65.82,1054.08,19.53,27.78,31.6,27.85,808.03,4208.71,13.35,15.41,36.03,7.45,15.85,6.8,13.2,21.36,21.29,23.23,60.04,15.96,30.05,17.74,12.45,3742.64,11.35,808.26,816.17,13.29,647.43,646.04,618.35,124.31,1695.64,27.78,28.51,1.6,2138.89,3171.97,3827.6,7.95,1.37
Ajanta Soya,519216,,Miscellaneous,31,61.91,61.53,0.5,47.29,0,2.69,847.22,240.03,-13.55,20.05,7.27,0.29,4.03,1022.16,3.15,8.03,607.02,-45.42,27.62,-6.27,13.66,17.13,13.06,3.14,10.12,11.66,47.5,1.8,-17.31,1236.2,5.56,6.17,4.03,8.01,16.1,16.85,-14.53,-4.87,20.94,20.05,29.04,0,29.94,72.86,49.88,1.91,-7.49
Ajcon Global,511692,,Finance & Investments,35.5,17.38,18.61,2.04,66.74,0.44,0.1,141.67,3.67,57.51,7.26,7.06,17.42,1.25,16.07,-30.56,-13.49,127.27,24.36,110.84,12.41,15.73,3.07,6.22,5.6,14.96,1.7,4.24,3.42,86.86,8.6,8.24,1.92,1.3,7.36,0.61,-0.23,-1.18,-0.08,1.49,7.26,5.09,0,1.99,9.75,23.2,0.95,-21.98
Ajel,530713,,Computers - Software - Converts,24.58,,602.98,-0.64,50.05,0.36,-0.79,-1216.67,3.52,115.95,-0.81,-0.55,-10.92,-1.7,13.92,24.19,3.94,-486.21,19.75,13.25,-1.24,,-3.14,-1.24,-0.91,182.85,89.71,35.01,-0.54,147.25,4.15,-12.15,0.05,0.81,-17.88,-0.44,-0.92,-0.3,0.05,-1.76,-0.81,-2.15,0,-1.75,-1.7,-1.87,1.9,44.84
Ajmera Realty,513349,AJMERA,Construction,755,26.06,37.63,28.98,74.2,0.93,29.47,94.52,231.8,102.89,8.81,11.72,28.74,102.84,699.96,26.39,12.9,43.83,50.48,6.45,6.73,20.36,8.02,9.78,12.55,99.25,38.87,36.49,5.35,62.37,431.1,14.13,124.43,103.92,24.47,56.57,217.07,132.62,3.88,283.71,8.81,7.82,0.4,293.14,475.99,14.51,3.1,50.09
Ajwa Fun World,526628,,Recreation / Amusement Parks,39.4,228.91,33.71,0.17,49.54,,-0.09,-280,0.52,-33.33,0.39,12.15,19.16,0.11,2.61,113.02,-8.28,-57.69,28.22,-3.29,11.34,8.8,,,,146.1,82.42,,1.78,-4.74,2.74,-4.75,0.06,0.11,-3.25,-0.6,-0.23,4.25,-0.47,5.77,0.39,-5.99,0,5.84,5.31,7.85,,40.71
Akar Auto Indust,530621,,Auto Ancillaries,115.35,22.67,37.01,5.09,73.06,1.76,0.96,-65.59,94.62,-6.94,16.75,17.71,6.39,5.49,373.82,25.99,6.21,-20.2,57.85,-0.61,12.82,23.05,8.21,18.13,13.07,34.1,67.38,34.05,2.72,2.14,365.98,10.26,22.2,5.49,10.16,2.7,-7.67,16.46,0.78,23.88,16.75,12.32,0.43,49.94,64.63,80.73,2.8,-22.92
Aksh Optifibre,532351,AKSHOPTFBR,Cables - Telephone,9.43,,32.96,-4.38,26.14,2.53,-60.37,55.36,50.29,-36.8,5.57,-1.82,7.2,-15.71,220.28,-6.81,-16.11,-318.8,10.77,,,,-10.89,-3.57,-27.1,12.81,-6.3,-3.32,-4.43,-23.13,286.55,-10.76,47.67,-71.31,-0.8,-14.73,25.87,42.15,-1.51,123.24,5.57,3.09,0,149.29,334.09,448.25,3.79,-30.22
AksharChem (I),524598,AKSHARCHEM,Dyes And Pigments,319.1,,36.76,-23.25,62.7,0.2,-6.02,-205.58,81.79,26.34,1.11,-3.85,0.5,-18.68,302.05,7.01,-1.32,-1866.32,,,,,1.75,-0.49,-6.95,31.39,-7.72,3.34,-5.01,-9.75,334.68,2.84,15.42,-18.68,7.62,4.76,-23.34,29.44,0.01,-14.13,1.11,3.37,0.16,35.68,111.27,132.42,0.99,9.69
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,2910.65,31.17,50.87,93.7,74.76,0.05,108.8,14.05,973.4,2.31,35.13,42.29,15.98,427.51,3961.6,17.83,6.3,27.27,26.84,17.15,10.28,15.66,23.69,27.12,32.33,8.48,8.24,10.74,15.15,4.2,3802.1,6.36,526.2,426.7,5.44,299.95,367.4,381.7,169.5,806.9,35.13,30.92,2.58,1093.1,1750.4,2072.1,9.97,8.57
Albert David,524075,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1321.2,10.01,36.02,132.15,62.13,0.01,12.91,246.11,89.06,9.38,20.66,27.76,12.93,75.42,362.46,13.74,2.76,108.57,52.2,22.89,24.95,19.6,13.69,16.04,21.72,108.02,38.44,27.78,16.37,6.23,341.2,3.09,44.46,75.42,2.37,37.09,34.63,5.69,-0.83,72.1,20.66,17.42,0.87,96.43,163.29,225.17,1.96,20.06
Alchemist Corp.,531409,,Trading,12.07,84.71,34.42,0.14,74.11,0.04,0.24,366.67,0,,-0.37,1.19,,0.07,0,,,138.89,-18.64,11.84,12.35,9.6,-0.18,-0.63,0.45,-8.49,13.8,-2.87,0.4,,0,,-0.18,0.07,,-0.03,-0.02,0.2,0.04,-1.45,-0.37,-0.07,0,-1.64,-3.63,-3.6,0.37,-19.59
Alembic,506235,ALEMBICLTD,Construction,133.88,12.83,37.63,10.46,70.88,0,72.15,22.58,49.04,32.11,4.33,4.86,36.1,268.62,157.49,28.91,4.93,35.44,-7.47,4.85,8.78,,13.54,10.06,12.6,84.03,1.53,30.82,11.85,23.77,127.24,0.97,40.33,268.62,,270.52,-33.32,14.11,-0.24,-70.58,4.33,4.13,1.64,43.79,48.15,93.24,1.57,43.42
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,973.65,31.26,36.02,31.33,69.61,0.11,178.21,16.78,1516.98,7.86,10.52,13.14,14.97,612.84,6228.63,4.92,9.62,77.16,-18.72,1.07,6.15,10.04,15.94,10.15,13.34,50.32,-0.07,12.55,9.71,10.19,5652.62,10.46,682.15,615.82,12.83,690.42,487.29,282.41,14.39,897.79,10.52,16.38,1.13,2079.5,3992.02,5116.4,3.97,16.4
Alfa Ica (I),530973,,Miscellaneous,68.93,16.57,34.41,4.16,71.12,0.64,0.6,53.85,18.39,32.97,10.79,10.64,5.75,1.68,68.49,7.48,4.09,15.07,7.56,6.26,8.16,8.84,8.24,8.28,8.02,42.09,29.49,17.18,3.97,5.96,64.64,4.6,4.07,1.68,1.81,1.48,2.72,3.99,-0.03,3.64,10.79,10.81,0,9.62,19.53,20.36,1.28,9.8
Alfa Transformer,517546,,Electric Equipment,87.22,10.46,61.85,8.34,46.82,0.42,0.12,-40,11.35,56.77,1.63,11.5,7.04,7.63,50.97,37.54,-4.57,600,37.6,47.52,24.73,18.73,-14.32,10.06,41.85,136.05,102.85,31.13,20.03,76.49,28.88,10.42,2.64,7.63,6.88,-3.08,-0.43,-2.4,0.01,-3.44,1.63,-6.66,0,-2.94,-4.62,-8.46,3.62,-1.6
Alfavision Overs,531156,,Miscellaneous,12.5,140.73,34.81,0.09,24.8,3.23,0.1,109.43,0.11,118.97,1.73,0.56,30.67,0.28,3.13,-66.4,-41.85,-58.82,-40.66,36.08,0,0.74,3.35,2.6,0.67,-15.48,44.3,,0.16,-89.84,30.81,-28.14,2.29,0.28,-22.19,0.84,-9.72,1.36,-0.72,-5.84,1.73,3.17,0,-5.82,-23.01,-23.42,0.94,-26.6
Alicon Cast.,531147,ALICON,Castings & Forgings,1274.35,33.75,34.67,38.03,55.71,0.6,20.54,111.75,419.3,31.34,12.02,14.52,12.52,61.28,1559.37,22.49,5.57,18.76,223.17,3.16,13.87,12.33,7.61,9.99,11.75,53.3,23.85,18.83,5.29,11.29,1401.16,10.57,153.67,61.28,11.34,30.46,47.7,4.99,0.98,55.84,12.02,10.33,0.49,321.39,490.63,633.03,3.7,30.99
Alkali Metals,533029,ALKALI,Chemicals,142.26,99.62,42.14,1.11,69.59,0.44,0.56,-24.76,24.42,-9.22,8.87,6.22,9.86,1.43,82.86,14.37,2.98,-51.85,39.32,-3.29,13.48,10.55,2.88,5.13,2.74,28.05,25.48,29.81,1.35,-6.09,88.23,4.44,9.68,1.13,2.29,1.47,4.6,8.05,-0.91,20.98,8.87,7.22,1.41,28.67,39.42,50.82,2.82,2.9
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,5324.15,33.68,36.02,150.19,56.74,0.15,304.48,201.04,2935.82,1.14,17.18,19.55,17.73,1891.07,12667.58,12.63,11.48,76.54,6.74,19.85,11.31,15.74,18.67,17.41,19.54,49.72,15.94,23.82,13.01,9.21,11599.26,12.12,1621.81,1811.46,15.07,1459.89,1761.26,1452.79,41.62,3997.09,17.18,18.28,0.77,4741.59,6591.57,7637.26,6.14,3.24
Alkyl Amines,506767,ALKYLAMINE,Chemicals,2094.65,71.4,42.14,29.12,71.96,0,38.45,-20.95,356.62,-13.54,25.74,16.46,17.48,149.71,1440.61,5.06,11.22,-35.36,-20.33,12.35,16.83,13.32,25.35,19,12.29,-17.25,-17.13,45.08,9.43,-14.4,1683.05,16.3,347.84,148.87,12.44,218.21,152.92,-54.61,-20.68,56.83,25.74,34.82,0.48,728.03,1279.7,1525.51,8.45,-14.99
Allcargo Gati,532345,ACLGATI,Trading,99.88,,58.63,1.12,52.93,0.61,-6.17,71.63,405.8,-2.37,1.6,-0.5,3.07,-25.76,1697.99,8.91,-1.84,-263.56,10.49,,,,-5.24,-2.53,-4.12,-24.7,-13.99,7.38,-1.98,-1.46,1723.17,0.06,70.08,6.12,4.3,-32.55,49.67,26.19,3.12,107.34,1.6,0.98,0,124.23,201.44,424.66,2.05,-24.53
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,64.56,49.18,40.42,1.52,69.92,0.73,-12.47,-110.91,3398.33,0.1,14.5,3.15,3.49,128.92,13187.83,7.9,13.85,-78.53,4.07,-10.93,-7.45,-1.11,15.3,19.53,4.83,-10.22,29.44,27.45,1.77,-26.94,18050.77,13.06,1140.2,140,10.5,387.55,-287.38,1486.97,344.13,1867.17,14.5,12.53,1.26,2287.37,2879.71,3512.39,2.52,-20.74
Alliance Integ.,534064,,Steel - Medium / Small,96.25,,28.92,4.88,62.94,,-18.96,53.42,24.17,84.64,-38.79,,18.75,-88.2,67.56,-2.61,-7.28,8.53,3.53,-5.66,-16.64,,,,,263.34,267.45,68.58,-24.81,15.23,58.63,-6.05,10.15,64.18,-8.85,-90.36,9.33,6.13,-3.21,16,-38.79,-18.93,0,20.74,84.11,98.1,,127.43
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,216.87,26.3,38.53,8.29,52.2,0.1,14.11,48.53,176.76,6.33,10.87,10.61,12.14,45.85,687.06,24.26,23.44,-14.73,33.55,35.9,99.53,16.52,7.2,8.89,8.23,103.35,48.82,72.62,6.23,4.09,660.07,18.03,88.31,45.85,9.97,35.99,64.32,34.82,24.31,107.25,10.87,8.75,0.58,129.27,209.28,260.74,2.07,27.05
Allsec Tech.,532633,ALLSEC,Computers - Software - Medium / Small,1116.4,27.72,38.53,42,73.39,0.18,20.73,71.04,129.71,20.12,25.93,30.54,24.68,61.71,469.37,19.26,12.44,32.2,21.09,26.04,0.52,16.02,18.93,20.49,25.98,119.25,32.47,29.23,17.6,20.21,390.45,5.71,88.64,64,8.93,44.07,73.35,55.83,8.72,179.43,25.93,23.87,4.03,225.84,371.18,443.89,6.93,71.68
Almondz Global,531400,ALMONDZ,Finance & Investments,137.15,19.85,18.61,12.71,58.2,0.11,6,48.88,45.41,70.52,10.99,9.85,13.17,19.13,116.29,22.86,9.3,21.92,1.18,24.48,68.31,14.4,8.77,9.27,9.1,80.54,26.4,52.66,6.49,52.51,76.25,12.2,9.41,34.08,2.04,15.26,13.49,-15.78,-5.18,2.46,10.99,9.94,0,15.7,30.79,68.02,1.67,11.96
Alok Industries,521070,ALOKINDS,Textiles - Processing,27.87,,21.82,-1.71,75,,-215.93,27.43,1469.31,-6.44,-2.36,-4.32,0.87,-846.82,5509.59,12.71,10.45,6.19,19.42,12.84,7.99,,,,,72.04,0.94,54.66,-11.39,-20.58,6937.29,-6.35,-78.52,-846.82,-12.68,-1109.1,-1189.77,797.58,-3.09,-274.18,-2.36,-2.46,0,-122.62,-43.16,-25.65,,-24.27
Alpa Laboratorie,532878,ALPA,Pharmaceuticals - Indian - Formulations,91.9,11.49,27.56,7.98,57.29,0.03,3.55,-23.87,23.61,-19.03,11.1,14.32,7.46,16.78,108.74,3.78,7.16,68.64,47.87,80.74,26.77,18.05,7.17,8.92,11.71,31.52,23.13,39.74,9.59,17.14,92.83,8,8.07,16.78,6.79,8.46,-2.74,7.77,7.24,12.78,11.1,9.22,0,22.49,38.56,24.85,1.27,-15.82
Alphageo (India),526397,ALPHAGEO,Miscellaneous,451.05,166.97,34.81,0.6,46.09,0,4.07,884.13,51.89,267.49,3.7,4.25,11.23,1.72,98.67,-11.66,-24.61,845.84,-35.49,-47.63,-38.23,-24.27,0.62,1.6,0.61,63.25,12.44,3.77,1.62,49.61,65.95,-14.92,6.85,1.05,0.46,1.68,-15.48,16.74,-58.14,75.15,3.7,2.5,1.77,93.13,126.74,294.75,1.03,56.48
Alpine Housing,526519,,Construction,133.15,66.85,39.83,1.98,73.86,0.21,1.2,-17.57,15.39,-16.18,5.15,6.39,12.42,3.45,57.56,10.94,13.2,42.56,6.33,2.97,1.87,7.33,3.95,3.54,4.44,-6.43,101.81,55.45,2.41,20.72,47.68,11.01,4.62,3.43,3.92,2.86,10.33,21.05,-1.41,29.63,5.15,5.3,0,29.22,47.93,43.16,2.91,-19.03
Alps Industries,530715,ALPSINDUS,Textiles - Products,4.08,,31.77,-14.38,22.21,,-13.95,22.71,0,-100,-9.55,2.93,-57.07,-56.24,1.91,-80.41,-65.14,6,9.92,5.89,6.44,4.28,,,,133.14,11.42,38.52,-954.84,-89.35,17.94,-54.87,-7.19,-56.24,-45.46,-79.39,41.8,38.09,-0.19,122.91,-9.55,-15.07,0,21.26,44.6,148.5,,63.2
Alufluoride,524634,,Chemicals,493.45,21.27,42.14,23.2,59.94,0.28,5.49,31.97,45.71,24.08,19.72,26.23,20.78,18.14,164.71,62.34,20.25,31.35,225.2,19.84,33.82,34.03,15.55,18.39,23.3,24.26,29.96,32.92,14.9,21.01,136.11,24.13,28.39,18.14,19,9.07,28.91,6.06,1.69,34.09,19.72,17.57,0.41,61.13,78.59,93.71,4.47,-5.48
Amal,506597,,Chemicals,384.9,279.91,42.14,1.38,71.33,0.34,0.37,109.37,21.21,22.25,-0.48,6.62,17.85,1.7,86.09,41.45,,110.54,-42.19,,,,,-8.55,2.46,41.2,-0.4,23.68,1.51,40.39,61.32,,-5.6,1.7,,0.85,12.63,-26.46,2.74,-78.12,-0.48,7.89,0,9.25,34.22,,6.81,1.09
Amalgamated Elec,501622,,Miscellaneous,58.1,,34.81,-0.29,23.64,,0.01,200,0,,-1200,,-1100,-0.08,0.01,,,27.27,6.27,7.39,-2.18,,,,,64.68,57.75,,-28.07,0,0.01,0,-0.12,-0.08,,-0.16,-0.03,0,0,-0.68,-1200,-461.37,0,-0.68,-0.68,-0.68,,31.33
Amara Raja Ener.,500008,ARE&M,Auto Ancillaries,1669.95,33.78,37.01,49.49,32.86,0.02,228.03,30.98,2796.73,14.95,18.67,20.19,14.4,905.86,11260.3,16.35,10.64,23.87,12.45,13.44,9.82,9.37,15.07,13.98,15.01,140.96,31.18,20.77,11.37,8.42,10385.91,11.31,1370.59,905.86,12.6,686.07,874.11,480.02,55.13,1227.33,18.67,20.22,0.59,2873.09,4852.03,5715.03,4.52,109.53
Amarjothi Spg.,521097,,Textiles - Cotton/Blended,219.85,18.5,28.02,11.88,60.06,0.36,4.48,3.23,69.23,17.84,9.79,8.8,15.15,8.02,189.45,4.24,-2.23,-20.67,-21.07,-6.23,-6.69,-8.77,8.53,7.78,4.52,14.65,16.46,24.72,2.97,-9.43,209.17,-1.9,29.86,8.02,-0.44,13.13,0.11,25.63,0.99,9.17,9.79,10.39,1,46.31,125.7,206.8,0.82,21.9
Ambalal Sarabhai,500009,,Trading,61.22,82.89,34.42,0.74,30.77,0.34,9.02,57.97,54.35,22.3,17.33,7.08,3.43,5.66,173.43,2.01,2.91,-51.29,-21.54,5.9,13.99,8.66,17.11,14.6,4.22,124.83,24.6,37.14,2.28,1.93,170.15,3.77,8.45,5.68,5.18,15.51,2.07,-14.84,-1.97,3.66,17.33,19.03,0,21.91,12.73,24.14,3.42,48.38
Ambica Agarbat.,532335,AMBICAAGAR,Chemicals,26.27,,42.14,-2.13,43.69,0.66,0.22,-87.64,23.35,-33.59,6.26,4.44,3.88,-3.66,97.85,-11.96,-6.67,-244.66,,,,,1.73,0.41,-3.55,-33.43,8,,-1.76,-16.39,117.03,-2.78,8.19,-3.66,0.35,1.74,1.6,6.44,-0.5,23.85,6.26,6.06,0,28.86,40.84,50.12,0.45,-12.23
Ambika Cotton,531978,AMBIKCO,Textiles - Cotton/Blended,1669,15.12,28.02,110.01,50.17,0.1,16.09,-11.25,205.79,10.51,23.6,11.87,13.27,62.98,823.46,9.14,4.65,-43.71,-2.5,-0.07,1.8,2.72,14.48,15.74,7.52,3.49,10.51,10,6.15,-2.84,847.5,6.55,175.82,62.98,5.62,94.99,-179.21,-97.58,-110.18,17.06,23.6,20.35,2.1,84.18,237.02,263.77,1.11,-9.22
Ambitious Plasto,526439,,Trading,8.2,79.33,34.42,0.1,24.7,,0.02,150,4.87,,-204.44,120,0.5,0.06,5.96,,53.91,112.5,36.54,16.24,5.96,,,,,50.18,,,9.3,,0,25.58,-0.48,0.06,33.16,-0.17,0.11,-0.46,0.01,-0.48,-204.44,-178.02,0,-0.48,-0.74,-0.74,,24.62
Ambuja Cements,500425,AMBUJACEM,Cement - North India,677.65,49.4,30.09,16.28,70.33,0.02,1525.78,24.34,8893.99,11.65,14.66,14.05,19.3,3380,33159.64,10.59,4.95,21.22,11.29,8.46,19.74,10.99,10.48,10.89,10.34,61.54,23.06,26.2,7.65,-14.84,38937.03,7.42,5122.37,4738.01,13.73,2711.74,1684.68,-3331.01,-10814.88,1366.49,14.66,14.5,0.3,11689.9,21260.91,26380.55,3.85,25.9
Amco India,530133,,Aluminium and Aluminium Products,62.7,31.05,25.51,2.02,65.55,0.28,0.25,200,19.98,-40.41,7.72,4.69,1.19,0.83,103.59,5.45,5.36,62.75,-17.35,1.78,-8.87,8.16,4.95,5.26,2.36,6.45,16.95,31.49,1.5,-32.75,154.04,8.67,1.83,0.83,6.41,1.58,4.44,1.52,0.02,3.58,7.72,7.48,0,9.24,4.51,9.43,0.72,-3.24
AMD Industries,532828,AMDIND,Packaging,73.81,,27.95,-0.87,66.69,0.67,0.09,-98.88,74.92,-34.18,9.23,3.41,7.78,-1.67,277.74,32.79,12.27,-108.49,2.83,,,,3.7,5.93,-1.06,7.01,32.41,33.67,-0.49,-20.65,350,9.29,50.01,-1.67,4.29,5.16,11.2,-4.01,2.58,-15.02,9.23,6.88,0,19.85,54.59,108,0.91,1.93
Amerise BioScie,531681,,Finance & Investments,0.74,,24.42,-0.02,0,0,0.02,200,0,,1.78,-2.73,,-0.15,0,,,-25,15.95,,9.11,,-0.77,1.71,-2.75,5.71,-20.98,,-2.72,-100,0.01,,-0.12,-0.15,,-0.04,-0.17,-0.13,0,-0.24,1.78,-0.77,0,-0.24,4.26,2.44,0.91,-5.13
Amforge Inds.,513117,,Finance & Investments,12.05,,24.42,-0.19,56.96,0.06,-0.48,-271.43,0,,4.37,3.55,-100,-0.4,0.91,-31.25,-16.63,-310.53,,,10.21,,3.82,3.86,-3.17,123.98,50.86,68.77,-2.31,-33.09,1.36,-11.91,-0.59,-0.27,-13.5,0.44,-1.38,-3,1.33,-5.31,4.37,5.02,0,-5.27,-8.9,-8.03,1.36,1.35
Ami Organics,543349,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1376.2,94.56,32.91,11.6,35.98,0.32,25.68,-6.71,224.96,20.7,20.09,16.02,17.91,59.52,717.47,28.19,24.64,-29,3.22,20.63,25.63,,16.78,14.01,9.39,15.94,,,7.28,16.33,616.73,23.88,123.35,48.71,,59.5,-155.18,-30.87,20.24,-231.74,20.09,23.94,0.22,178.77,233.81,257.11,7.53,22.35
Amines & Plast.,506248,AMNPLST,Chemicals,301,41.64,42.14,7.24,73.17,0.39,12.94,51.35,177.34,6.27,19.22,23.3,10.68,39.83,647.01,13.55,7.29,74.16,6.92,19.38,15.19,28.24,19.57,16.48,19.78,230.32,40.36,57.65,10.86,8.32,597.29,11.88,42.47,39.83,10.25,29.15,43.28,2.36,2.54,10.86,19.22,22.34,0.17,24.82,99.21,130.55,7.53,41.66
Amit Internation,531300,,Trading,3.88,105.01,34.42,0.04,17.49,0,-0.04,-116.67,0,,0.5,0.46,,0.07,0,,,133.33,-18.64,-25.74,16.28,12.22,0.47,0.39,0.36,25.97,4.91,5.63,0.35,,0,,-0.25,0.07,,0.09,0,-0.38,-0.1,-1.17,0.5,0.6,0,-1.17,-2.5,-4.17,0.37,-12.61
Amrapali Inds.,526241,,Trading,16.44,93.91,34.42,0.18,73.43,2.01,0.03,116.67,5143.34,41.28,0,,0.01,0.9,27300.89,,,25,,,,,,,2.91,37,39.93,34.54,0.49,-6.08,29068.44,,4.43,0.9,,,4.39,-13.72,-8.92,,0,0,0,,,,2.69,16.51
Amraworld Agrico,531991,,Trading,1.16,32.46,34.42,0.04,0,0,0.53,5400,0,,1.72,3.87,,0.43,0,,,458.33,,112.17,43.86,46.33,0.83,1.74,3.87,56.76,38.14,,3.85,,0,,-0.12,0.43,,0.09,0.13,0.12,0,-0.55,1.72,0.86,0,-0.55,0.64,0.6,1.23,-0.85
Amrutanjan Healt,590006,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,775.05,49.9,27.56,15.55,50.59,0.01,13.66,7.56,127.06,26.65,26.13,21.34,12.3,44.97,421.23,8.17,10.71,12.96,-9.72,12.91,10.92,11.5,20.75,18.81,15.53,6.27,2.73,20.58,12.34,10.96,379.64,10.69,44.54,44.97,12.35,47.63,21.45,11.29,2.72,61.48,26.13,28.93,0.59,100.29,209.34,249.63,7.77,31.58
Anand Rathi Wea.,543415,ANANDRATHI,Finance & Investments,4120.2,76.61,24.42,53.78,48.03,0.08,56.86,32.83,184.28,28.9,50.47,50.74,44.07,224.97,751.83,40.15,21.81,33.58,70.88,30.94,,,38.52,41.33,40.28,339.71,,,30.03,34.54,558.83,,248.85,225.82,,125.2,273.07,71.51,-22.35,471.63,50.47,44.95,0.35,507.16,629.56,,26.63,46.09
Anant Raj,515055,ANANTRAJ,Construction,526.7,69.04,37.63,7.63,60,0.17,84.01,61.71,442.59,57.98,5.59,8.56,22.51,260.88,1483.3,81.12,33.52,75.22,212.97,45.38,19.27,9.97,3.67,5.42,8.05,197.49,101.37,99.52,5.87,55,956.94,17.99,197.06,270.95,11.87,99.19,-54.84,-5.22,14.63,405.87,5.59,3.74,0.14,430.69,196.93,702.43,4.92,64.52
Andhra Cements,532141,ACL,Cement - South India,97.55,,25.54,-7.12,90,2.28,-18.78,-112.49,91.84,,-22.39,-6.33,-1.21,-87.91,268.11,1289.22,-3.55,-309.65,16.26,6.56,1.98,-1.32,,,-26.96,12.66,69.23,91.73,-8.8,,0,-3.71,-25.4,-65.61,,-143.54,-116.65,-28.34,43.69,5.96,-22.39,-19.33,0,123.18,359.07,474.33,3.03,-24.59
Andhra Paper,502330,ANDHRAPAP,Paper,595.65,6.99,9.93,85.43,72.31,0.06,38.41,-76.72,364.38,-38.26,31.73,25.24,23.94,339.74,1800.58,26.63,4.76,-36.47,336.69,10.67,30.45,26.04,20.57,24.71,19.55,41.28,30.51,6.67,15.25,-14.16,2097.66,6.32,738.19,339.74,5.13,244.96,-12.25,422.33,-3.22,573.38,31.73,24.57,2.1,1056.91,1337.86,1862.99,1.25,0.49
Andhra Petrochem,500012,,Chemicals,115.55,15.5,42.14,7.46,45.04,0.15,43.93,629.73,278.46,71.42,28.41,15.36,10.67,63.36,788.67,11.69,3.44,210.44,-6.08,-1.93,42.99,16.15,20.79,21.57,11.94,77.12,-5.78,18.41,9.51,15.47,682.98,13.31,34.62,63.4,11.77,80.13,99.03,7.58,-3.09,274.65,28.41,26.08,1.73,295.97,461.96,601.08,1.77,13.64
Andhra Sugars,590062,ANDHRSUGAR,Chlor Alkali / Soda Ash,122.85,21.05,27.03,5.54,47.19,0.02,26.11,-15.04,433.24,-19.62,13.69,5.73,5.97,79.05,1894.04,7.87,6.59,-58.91,-17.08,-15.72,-5.84,4.45,12.24,11.38,5.06,10.98,2.68,14.76,3.89,-20,2367.59,5.77,307.78,75.99,5.59,168.11,7.52,69.29,-10.03,160.95,13.69,14.08,1.63,603.98,1037.73,1353.66,1.05,7.34
Andrew Yule & Co,526173,,Diversified - Medium / Small,48.08,,38.35,-0.97,89.25,0.34,-22.21,-365.52,76.57,-5.63,0.13,-12.3,-28.85,-46.86,309.86,-2.13,-0.11,-476.69,,,,,-1.66,-3.71,-12.94,87.45,15.2,24.93,-6.45,-17.16,374.04,-4.29,-6.27,-47.47,-2.07,-6.05,-5.81,7.76,17.52,-83.81,0.13,0.3,0.01,13.93,-15.9,-11.72,6.93,24.62
Anik Industries,519383,ANIKINDS,Construction,54.59,55.07,37.63,0.11,37.81,0.02,-3.13,-7725,56.34,255.91,2.92,2.79,6.84,2.75,100.6,-9.05,-30.14,-46.71,81.49,16.88,10.54,,-1.14,1.38,0.72,73.18,29.01,41.38,0.61,-14.82,118.1,-20.22,5.83,0.3,,-4.32,47.21,2.59,-0.54,107.96,2.92,0.3,0,135.1,102.94,122.29,0.4,10.36
Anjani Finance,531878,,Finance & Investments,13,20.28,24.42,0.64,52.75,0,0.02,-99.39,0.11,173.33,6.89,4.1,59.3,0.65,0.86,-0.38,9.35,-90.7,8.42,10.76,,,8.31,11.42,3.46,54.76,29.4,56.38,2.87,-38.57,1.4,,2.68,0.65,,1.6,5.97,0.37,0.68,7.62,6.89,6.89,0,7.62,7.11,,0.9,16.18
Anjani Portland,518091,APCL,Cement - South India,199.49,,25.54,-13.3,75,1.45,-4.56,73.79,157.88,18.75,-3.08,-2.43,4.62,-39.07,623.9,,,32.96,,,,,,,-12.44,9.76,-18.34,5.62,-3.85,-5.68,661.5,,21.44,-39.32,,,40.13,6.91,-11.63,139.16,-3.08,-3.08,0,171.9,,,1.99,-6.61
